item_id,item_name,sku,manufacturer,HS_Code
2.88879000002626e+18,"Accessories racks, chrome-plated for Solid.Line incubators and drying ovens, Suitable for: for BD-S 056/ED-S 056/FD-S 056",KCT7.1,Carl Roth,73262000.0
2.888790000014745e+18,Accessories Vacuum pump oil for CRVpro series,HKE3.1,Carl Roth,84141025
2.8887900000109983e+18,"Acetic acid ethyl ester, 2.5 l",T164.1,Carl Roth,
2.888790000004706e+18,"Acetic acid, 1 l",7332.1,Carl Roth,
2.8887900000109983e+18,"Acetic acid, 2.5 l",7332.4,Carl Roth,
2.8887900000109983e+18,"Acetone, 2.5 l, glass",9372.2,Carl Roth,
2.8887900000109983e+18,"Acetonitrile, 2.5 l - ROTISOLV® ≥99,95 %, LC-MS Grade",AE70.2,Carl Roth,
2.888790000006937e+18,Acid Reagent Powder Pillows (pk/100),104299,HACH,
2.888790000003341e+18,Acid Reagent Powder Pillows for HR Silica,2107469,HACH,
2.888790000010377e+18,ACTICLEVER 115,10115310,Rikutec,
2.888790000003168e+18,ACTIVATED CARBON FILTER,AC100-14,AO Smith,
2.888790000002928e+18,ACTIVATED CARBON FILTER,AC100-21,AO Smith,
2.888790000004295e+18,ACTIVATED CARBON FILTER,AC150-30,AO Smith,
2.8887900000028657e+18,Activated Carbon Filter - AC200-36,AC200-36,AO Smith,
2.888790000002506e+18,Activated Carbon Filter - ACT300-1000E,ACT300-1000E,AO Smith,
2.8887900000050243e+18,ACTIVATED CARBON FILTER AC100-13,AC100-13,AO Smith,
2.8887900000047053e+18,Activated charcoal acid-washed with hydrochloric acid 2.5 kg,C4386,,
2.888790000009666e+18,Actuator valve,Actuator valve,,
2.888790000003497e+18,Adapter 13/16 für VAA880,VAA897,HACH,
2.888790000002312e+18,"Adapter A, 10 mm square, DR2700, DR2800 & DR3800",LZV583,HACH,
2.888790000002312e+18,"Adapter C, 1"" Round, DR2700, DR2800 & DR3800",LZV584,HACH,
2.888790000023416e+18,Adapter for BOD direct plus,LZQ079,HACH,38221900
2.888790000004651e+18,"Adapter Set, DR 2700, DR 2800, DR 3800 Spectrophotometers",LZV647,HACH,
2.888790000003498e+18,"Adapter, USB/DC Power Jack",5813400,HACH,
2.888790000016905e+18,"Addista Mixed-Parameter Standard, NIST, Wastewater, Low Range",LCA721,HACH,38221900
2.8887900000025754e+18,Addista Multi parameter standard solution LCA700,LCA700,HACH,
2.8887900000025754e+18,Addista Multi parameter standard solution LCA703,LCA703,HACH,
2.8887900000025754e+18,Addista Multi parameter standard solution LCA704,LCA704,HACH,38221900
2.8887900000025754e+18,Addista Multi parameter standard solution LCA705,LCA705,HACH,38221900
2.8887900000025754e+18,Addista Multi parameter standard solution LCA708,LCA708,HACH,38221900
2.8887900000025754e+18,Addista Multi parameter standard solution LCA709,LCA709,HACH,38221900
2.888790000027154e+18,Addista Multi parameter standard solution- LCA707,LCA707,HACH,38221900.0
2.888790000002314e+18,AELIFV HSC866 კლემების მომჭერი,1112,Tools,
2.888790000012232e+18,Air distributor for 8 tube diffusers PRO AIR 1.2m,Air distributor for 8 tube diffusers PRO AIR 1.2m,ATB Water GmbH,
2.888790000018777e+18,AKUALYS AGM70,AGM70,Ak-kim Kimya,842199900014
2.8887900000105943e+18,"Alcohol cuvette test 0.01-0.12 g/L, 24 tests",LCK300,HACH,
2.8887900000023127e+18,Alignment Tool for Optics,A23762,HACH,
2.888790000022453e+18,"Alkali blue 6B (C.I. 42765), 100 g p.a.",5155.3,Carl Roth,32041900.0
2.888790000016216e+18,Alkaline Cyanide Reagent Solution (50mL SCDB),2122326,HACH,38221900.0
2.888790000002838e+18,"Alkaline EDTA Solution, 100 mL MDB",2268732,HACH,
2.888790000014379e+18,"Alkalinity test kit AL-AP, 5 - 100 / 20 - 400 mg/L CaCO₃ 100 pcs",2444301,HACH,
2.888790000007582e+18,"All-purpose thermometer, -10 to +100 °C",Y932.1,Carl Roth,
2.8887900000145894e+18,"All-purpose thermometer, -30 to +50 °C",Y931.1,Carl Roth,90251180.0
2.888790000010479e+18,"Aluminium Reagent Set, Powder Pillows, 0.008-0.800mg/L Al",2242000,HACH,38221900
2.888790000010999e+18,Aluminium standard solution 1000 mg/L in 2% HCl AAS,86660.180P,VWR Avantor®,3822190090
2.888790000011075e+18,"Aluminium Standard Solution, 10 mg/L, 100 mL",2305842,HACH,
2.888790000016905e+18,"Aluminum cuvette test 0.02-0.5 mg/L Al, 24 tests",LCK301,HACH,38221900.0
2.8887900000088e+18,AluVer 3 Aluminum Reagent Powder Pillows,1429099,HACH,38221900
2.888790000010999e+18,Amidosulphonic acid AnalaR NORMAPUR analytical reagent,20672.234,VWR Avantor®,2811198050
2.888790000003918e+18,"Amino Acid F Reagent Powder Pillows, pk/100",2254069,HACH,
2.8887900000033413e+18,"Amino Acid F reagent solution, 100 mL",2386442,HACH,
2.888790000004807e+18,Amino Acid Reagent (100mL MDB),193432,HACH,
2.888790000005546e+18,Amino Acid Reagent Powder Pillows (pk/100),80499,HACH,
2.8887900000047053e+18,"Ammonia cell test 0,5 - 16,0 mg/l NH₄-N",713-4002,VWR Avantor®,
2.888790000004823e+18,Ammonia Cyanurate Reagent Powder Pillows (100 pcs.),2653199,HACH,
2.8887900000024724e+18,Ammonia No. 2 - Tablet Reagents,512590BT,Lovibond (AQUALYTIC),
2.8887900000073293e+18,Ammonia No.1 Tablets Bt,512580BT,Lovibond (AQUALYTIC),
2.888790000003341e+18,"Ammonia Reagent Set, Nessler, 0.02-2.50 mg/L NH₃-N",2458200,HACH,3822
2.888790000004706e+18,"Ammonia solution, 1 l, glass",2610.1,Carl Roth,
2.888790000006448e+18,"Ammonia solution, 1 l, glass - 30-33 %, extra pure",P093.1,Carl Roth,
2.888790000002479e+18,"Ammonia Standard Solution, 10 mg/L, 500 mL",15349,HACH,
2.888790000002479e+18,"Ammonia Standard Solution, 100 mg/L, 500 mL",2406549,HACH,28271000
2.88879000000248e+18,"Ammonia Standard Solution, 1000 mg/L, 1 L",2354153,HACH,
2.8887900000047053e+18,Ammonia T 0.02 - 1 mg/L N,517611BT,Lovibond (AQUALYTIC),
2.888790000011075e+18,"Ammonia TNTplus Vial Test, HR (2-47 mg/L NH₃-N), 25 Tests Ammonia TNTplus Vial Test, HR (2-47 mg/L NH₃-N), 25 Tests Ammonia TNTplus Vial Test, HR (2-47 mg/L NH₃-N), 25 Tests",TNT832,HACH,
2.8887900000047053e+18,"Ammonium acetate, 1 kg",7869.1,Carl Roth,
2.888790000014589e+18,"Ammonium chloride - 500 g ≥99,5 %, Ph. Eur., USP, BP",P726.1,Carl Roth,28271000
2.888790000009135e+18,"Ammonium cuvette test 0.015-2.0 mg/L NH₄-N, 25 tests",LCK304,HACH,38221900
2.888790000014873e+18,"Ammonium cuvette test 0.5-5.0 mg/L NH₄-N, 25 tests",LCK505,HACH,38221900
2.888790000002575e+18,"Ammonium cuvette test 1.0-12.0 mg/L NH₄-N, 25 tests",LCK305,HACH,38221900
2.888790000009135e+18,"Ammonium cuvette test 100-1,800 mg/L NH₄-N, 25 tests",LCK502,HACH,
2.888790000002575e+18,"Ammonium cuvette test 2.0-47.0 mg/L NH₄-N, 25 tests",LCK303,HACH,38221900
2.888790000009135e+18,"Ammonium cuvette test 47-130 mg/L NH₄-N, 25 tests",LCK302,HACH,38221900.0
2.888790000010978e+18,"Ammonium heptamolybdate tetrahydrate, 1 kg",7311.3,Carl Roth,
2.888790000017667e+18,"Ammonium heptamolybdate tetrahydrate, 1 kg, plastic≥99 %, p.a.",3666.3,Carl Roth,
2.8887900000024724e+18,"Ammonium IC Standard Solution, 100 ml, HDPE",2654.1,Carl Roth,
2.8887900000109783e+18,"Ammonium iron(II) sulphate hexahydrate, 1 kg",P728.2,Carl Roth,
2.888790000004706e+18,"Ammonium iron(III) sulphate dodecahydrate, 1 kg",P734.2,Carl Roth,
2.8887900000047053e+18,"Ammonium nitrate, 1 kg",K299.2,Carl Roth,
2.888790000002545e+18,"Ammonium sulphate, 500 g",9212.3,Carl Roth,
2.888790000014589e+18,"Ammonium sulphate, 500 g ≥99 %, cryst.",9218.3,Carl Roth,
2.8887900000261463e+18,"Analytical balance ACJ series, internal adjustment, 320 g From  KERN",264H.1,Carl Roth,
2.888790000004336e+18,Analytical Balance ME204,30029066,Mettler Toledo,
2.888790000009106e+18,"Analytical balances ABJ-NM series models with internal calibration, 120 g, ABJ 120-4NM (W)",TA67.1,Carl Roth,
2.888790000004345e+18,"Analytical balances ABJ-NM series models with internal calibration, 320 g, ABJ 320-4NM (W)",TA69.1,Carl Roth,
2.888790000002509e+18,"Anion Multi-Element Standard (IC, 7 anions, concentration in mg/l), 100 ml",2668.1,Carl Roth,
2.888790000002472e+18,"Anion Multi-Element Standard I (IC, 3 anions, 1000 mg/l), 100 ml",2026.1,Carl Roth,
2.888790000008123e+18,"Anionic Surfactants, cuvette test 0.05-2.0 mg/L, 25 tests",LCK332,HACH,38221900
2.888790000008061e+18,"Anionic Surfactants, cuvette test 0.1 - 4.0 mg/L, 25 tests",LCK432,HACH,38221900
2.888790000004234e+18,"Anisole, 1 l, glass",4417.3,Carl Roth,
2.8887900000244613e+18,ANTHRACITE PER BAG 35 LITER,ANTHRACITE PER BAG 35 LITER,VEOLIA,
2.888790000007056e+18,Antifoam filling kit for 6110 V3,DG33480,HACH,
2.888790000019241e+18,Antifoam pump upgrade kit for 6110,DG33540,HACH,39269097
2.888790000019241e+18,Antifoam recharge bottle 1L,33156,HACH,38221900
2.8887900000025723e+18,"APA6000 Low Range Hardness Standard 5 mg/L, 1 L",2696353,HACH,
2.888790000016858e+18,Applied Membranes Inc. Silt Density Index Water-Testing Kit,SDI TEST KIT,,
2.8887900000252723e+18,"Aqua TROLL 500, Non-Pressure",0050710,In-Situ,
2.8887900000252723e+18,Aqua TROLL 500/600 Copper Guard,0076100,In-Situ,
2.8887900000252723e+18,Aqua TROLL 500/600 Wiper,0063500,In-Situ,
2.888790000025272e+18,"Aqua TROLL 700, Non-Pressure",0045710,In-Situ,
2.8887900000252723e+18,Aqua TROLL 700/800 Antifouling Restrictor,1014500,In-Situ,
2.8887900000252723e+18,Aqua TROLL 700/800 Wiper,1012110,In-Situ,
2.8887900000252723e+18,Aqua TROLL Chlorophyll a Sensor,0038900,In-Situ,
2.8887900000252723e+18,Aqua TROLL Crude Oil Sensor,0096060,In-Situ,
2.8887900000252723e+18,Aqua TROLL FDOM Sensor,0096070,In-Situ,
2.8887900000252723e+18,Aqua TROLL pH/ORP Sensor,0063470,In-Situ,
2.8887900000252723e+18,Aqua TROLL Phycoerythrin (BGA-PE) Sensor,0038930,In-Situ,
2.8887900000252723e+18,Aqua TROLL RDO Sensor (includes RDO-X Cap),0063450,In-Situ,
2.8887900000252723e+18,Aqua TROLL Sensor Port Plug,0063510,In-Situ,
2.8887900000252723e+18,Aqua TROLL Temperature/Conductivity Sensor,0063460,In-Situ,
2.8887900000252723e+18,Aqua TROLL Turbidity Sensor,0063480,In-Situ,
2.888790000004998e+18,AQUAFILTER RX65139415,RX65139415,აქვაშენი,
2.888790000012232e+18,AQUAMAX PRO XL1-B,AQUAMAX PRO XL1-B,ATB Water GmbH,
2.888790000003539e+18,AQUAMAX® Classic 1 - 16 PT,AQUAMAX® Classic 1 - 16 PT,ATB Water GmbH,
2.888790000012232e+18,AQUAMAX® dosing station P100,AQUAMAX® dosing station P100,ATB Water GmbH,
2.888790000012232e+18,AQUAMAX® PRO control XL1B,AQUAMAX® PRO control XL1B,ATB Water GmbH,
2.8887900000029824e+18,AQUAMAX® PRO XL - 155 m3/day,AQUAMAX PRO XL-HBA-075,ATB Water GmbH,
2.888790000012232e+18,AQUAMAX® PRO XL1 attachements,AQUAMAX® PRO XL1 attachements,ATB Water GmbH,
2.8887900000198523e+18,"Arsenic ICP Standard Solution, 100 mlROTI®Star 1 000 mg/l As, in 2 % HNO3",2399.1,Carl Roth,
2.888790000006053e+18,AS950 All Weather Sampler,ASA.CXXX4X31XX,HACH,
2.888790000003496e+18,Ascorbic Acid Reagent Powder Pillows,1457799,HACH,29362700.0
2.8887900000142423e+18,Assembly arm IR emission,DG33115,HACH,8541
2.8887900000142423e+18,Assembly arm IR reception,DG33116,HACH,8541
2.888790000012232e+18,Assembly of Side-Channel-Compressor SC1.5/96,Assembly of Side-Channel-Compressor SC1.5/96,ATB Water GmbH,
2.88879000000273e+18,Assembly Works,1113,VORTEX Water Engineering,
2.888790000006442e+18,AT1000 Series Potentiometric Titrator with 1 Burette - Model AT1102,AT1102.82,HACH,9027
2.888790000008036e+18,AT1000 Series Potentiometric Titrator with 2 Burettes and 2 Pumps - Model AT1222,AT1222.82,HACH,
2.888790000003992e+18,AU 45° reflector TU5xxx,LZV988,HACH,
2.888790000004061e+18,Audit,1114,Nijhuis Saur Industries,
2.888790000008094e+18,"Aurin tricarboxylic acid ammonium salt, 10 g",2670.1,Carl Roth,29189990.0
2.888790000009666e+18,Automatic Backwash Bag Filter,AOS-ABBF,,
2.8887900000126843e+18,Automatic Self-Cleaning Filter,ASCF - 120 m3/h,VEOLIA,
2.888790000013639e+18,Automatic Self-Cleaning Filter-10m3/d,ASCF - 10 m3/h,VEOLIA,
2.888790000015669e+18,Automatic Self-Cleaning Filter-200,ASCF - 200 m3/h,VEOLIA,
2.888790000016961e+18,Automatic self-cleaning water filter,AQWELL AUTO,,
2.8887900000048205e+18,"Automation, piping, valves & Installation",Automation,VORTEX Water Engineering,
2.8887900000052e+18,Automatization Works,Automation Service,VORTEX Water Engineering,
2.888790000004706e+18,"Azomethine H hydrate, 25 g, glass",CP99.3,Carl Roth,
2.8887900000034964e+18,"Backpack for portable meters, small, nylon, with cases",2990700,HACH,
2.888790000006514e+18,Balance XPR204S,ME203T/00,Mettler Toledo,
2.88879000001583e+18,"Ball valve armature for Solitax inline sc and Solitax highline sc, stainless steel",LZX936,HACH,
2.8887900000191944e+18,BALL VALVE F-F 1½” BRASS,39631 / 56529,HYDROO,
2.8887900000109783e+18,"Barium chloride dihydrate, 1 kg, plastic",4453.3,Carl Roth,
2.888790000004706e+18,"Barium chromate, ≥98 %, 1 kg",401056,,
2.8887900000055465e+18,"Barium ICP Standard Solution, 100 ml",2400.1,Carl Roth,
2.8887900000188145e+18,Base frame 660X290X46 XBOOST2 VDROO1-20,24201,HYDROO,
2.8887900000188145e+18,BASE FRAME 820X350X60 XBOOST2 VDROO32-90,38677 / 57851,HYDROO,
2.888790000007056e+18,Basic kit for annual maintenance fo,DG33519A,HACH,39269097_x000D_
2.888790000007056e+18,Basic kit for intermediate maintenance for 6110 V3,DG33518,HACH,
2.888790000023589e+18,Basiclogo BD 00 E,JP45735,Pentair,85371098.0
2.888790000006538e+18,Battery for electronic pipette BBP087,BBP089,HACH,
2.888790000009768e+18,"Battery, AA, 1.5 V DC, Alkaline",1938004,HACH,8506.0
2.8887900000033413e+18,"Beaker 50 mL, low form, graduated, DURAN",SM105006,HACH,
2.888790000007259e+18,"Beaker ROTILABO® low form, 100 ml",X689.1,Carl Roth,70172000.0
2.888790000007259e+18,"Beaker ROTILABO® low form, 250 ml",X691.1,Carl Roth,70172000.0
2.888790000007259e+18,"Beaker ROTILABO® low form, 50 ml",X688.1,Carl Roth,70172000.0
2.8887900000025457e+18,"Beaker ROTILABO® low form, 600 ml",X693.1,Carl Roth,70172000.0
2.888790000022453e+18,"Beaker ROTILABO® low form, 620 ml",XX37.1,Carl Roth,69091100.0
2.888790000028115e+18,"Beaker ROTILABO® SIMAX low form, 2000 ml",X696.2,Carl Roth,70172000.0
2.888790000002862e+18,"Beaker, polypropylene, low form, 50 mL",108041,HACH,
2.8887900000023107e+18,Bearing kit,ZBR47050,Pentair,
2.8887900000023127e+18,"Belt, tooth drive, for barcode reader",LZV594,HACH,
2.888790000002505e+18,Bench Scale BBA236-4B150,BBA236-4B150,Mettler Toledo,
2.888790000002505e+18,Bench Scale BBA236-4BB60,1115,,
2.888790000009451e+18,"Benchtop centrifuge Universal series Model Universal 320 R, cooled",EC41.1,Carl Roth,
2.8887900000023127e+18,Biconvex Lens,A23761,HACH,
2.888790000027434e+18,"Bioethanol, 1 l, glass 96 %, Ph. Eur.",6724.1,Carl Roth,
2.888790000022584e+18,BioTop home 6,HOME 6,BioTop,
2.8887900000088e+18,"Bleaching (3) Reagent Powder Pillows, pK/100",1429449,HACH,38221900
2.8887900000240773e+18,"Blind plug-M20x1,5-ATEX-II2GD-EEx-d-IIC-1.4404",4000116801 (73181900),KROHNE,
2.888790000026356e+18,"Blindstop.-M20x1,5-ATEX-1.4404","Blind plug-M20x1,5-ATEX-II2GD-EEx-d-IIC-1.4404",KROHNE,
2.88879000002317e+18,BM26A-5000 PN40 / 300lbs,SFPC90W0016006106KAGH20GGA0010,KROHNE,
2.888790000009025e+18,BM26A-7000 PN400,SFPM90W20111LB1X1SK00720000000,KROHNE,
2.888790000009768e+18,"BOD bottle, 500 mL, brown",LZQ081,HACH,7010.0
2.888790000002407e+18,BOD Direct Plus,LQV166.98.00001,HACH,90262020.0
2.888790000011075e+18,"BOD Seed Inoculum, Polyseed, pk/50 capsules",2918700,HACH,
2.888790000002479e+18,"BOD Standard Solution, 300 mg/L, pk/16 - 10-mL Voluette Ampules",1486510,HACH,
2.888790000003767e+18,"BOD Standard Solution, 3000 mg/L, pk/16 - 10-mL Voluette Ampules",1486610,HACH,
2.888790000004268e+18,BOD TRAK II Manometric BOD apparatus with accessories,2952400,HACH,
2.888790000009451e+18,"BOD5 cuvette test 0.5-12.0 mg/L O₂, 20 tests",LCK554,HACH,38221900.0
2.8887900000031693e+18,"BOD5 cuvette test 4 -1650 mg/L O₂, 39 tests",LCK555,HACH,38221900
2.8887900000109983e+18,"Boric acid, 2.5 kg",6943.6,Carl Roth,
2.888790000008986e+18,"Boron cuvette test 0.05-2.5 mg/L B, 25 tests",LCK307,HACH,38221900
2.888790000019857e+18,"Boron Reagent Powder Pillows, 0.2-14.0mg/L B",1417099,HACH,38221900.0
2.888790000027525e+18,"Boron standard solution, 1000 mg/L as B (NIST), 100 mL",191442,HACH,
2.8887900000023137e+18,BOSCH 90918 ლაზერული თარაზო,1116,Tools,
2.888790000007492e+18,"Bottle stoppers BOD, acrylic, 25/pk",2943900,HACH,
2.888790000002862e+18,"BOTTLE, BR POLY NARROW MOUTH 6OZ",590900,HACH,
2.888790000002862e+18,"Bottle, mixing, round",1862400,HACH,
2.8887900000109983e+18,"Brilliant green (C.I. 42040), 25 g, glass",0324.1,Carl Roth,
2.888790000002311e+18,BRINE ELBOW ASSEMBLY,P1020581,Culligan,
2.888790000002311e+18,"Brine Elbow Assembly, 10ea",P1034563,Culligan,
2.888790000023245e+18,"Bromcresol green-methyl red indicator solution, 100mL MDB",2329232,HACH,38221900
2.8887900000109983e+18,"Bromocresol green, 10 g",T115.3,Carl Roth,
2.888790000002545e+18,"Bromocresol green, 5 g",T115.2,Carl Roth,
2.888790000009357e+18,"BS870 Redox Buffer, 215 mV, 500 ml",C10G100,HACH,
2.888790000010544e+18,"Bucket, with graduated lines, 10 L",2087300,HACH,
2.8887900000033413e+18,"Buffer Powder Pillows, pH 4.01 Colour-coded Red, pk/50",2226966,HACH,
2.888790000002862e+18,"Buffer Powder Pillows, pH 7.00 Colour-coded Yellow, pk/50",2227066,HACH,
2.888790000007726e+18,"Buffer Powder Pillows, pH 8.00, pk/15",1407995,HACH,
2.888790000002315e+18,"Buffer Solution Kit, Colour-coded, pH 4.01, pH 7.00 and pH 10.01, 500 mL",2947600,HACH,3822.0
2.888790000010999e+18,"Buffer solution pH 4.00 ±0.01 (20 °C), 500 ml, plastic",P712.3,Carl Roth,
2.888790000010999e+18,"Buffer solution pH 7.00 ±0.01 (20 °C), 500 ml, plastic",A518.3,Carl Roth,
2.888790000011075e+18,"Buffer solution pillows, respirometric BOD nutrient, pk/50",2962266,HACH,
2.888790000004705e+18,"Buffer Solution, pH 10.01, 125 mL",LZW9470.99,HACH,
2.888790000004705e+18,"Buffer Solution, pH 4.01, 125 mL",LZW9460.99,HACH,
2.888790000008036e+18,"Buffer Solution, pH 4.01, 250 mL",LZW9463.99,HACH,
2.888790000005183e+18,"Buffer Solution, pH 4.01, 500 mL",1222349,HACH,
2.8887900000047053e+18,"Buffer Solution, pH 7.00, 125 mL",LZW9461.98,HACH,
2.888790000008036e+18,"Buffer Solution, pH 7.00, 250 mL",LZW9464.98,HACH,
2.888790000005183e+18,"Buffer Solution, pH 7.00, 500 mL",1222249,HACH,
2.88879000000231e+18,"Burette with Schellbach stripes Class AS With a straight valve stopcock and a PTFE spindle, 10 ml",ET69.1,Carl Roth,70172000
2.8887900000034964e+18,"BUS-Leitung 1x2x0,64 mm (Litze)/Profibus L2 Cable 10m",XLS403,HACH,
2.8887900000191944e+18,"BUTTEFLY VALVE DISC316/EPDM 4""","DISC316/EPDM 4""",HYDROO,
2.888790000006538e+18,C315.300.C2.K Load Cell Platform Scale,WP-123-0029,Radwag,
2.88879000001361e+18,Cable for OTT SVR 100 - 50m/– With plug,6315120195,OTT HydroMet,
2.888790000009002e+18,Cable for Rugged TROLL 200,0061520-01-02-01,In-Situ,
2.888790000022915e+18,Cable from counter to C2 / C20 on 20 mm rod,1715003142-5,OTT HydroMet,
2.888790000026356e+18,"Cable gland CG-M20x1,5-1.4404--0","Cable gland -M20x1,5-ATEX-II2GD-EEx-D-IIC-1.4404",KROHNE,85389099.0
2.8887900000240773e+18,"Cable Gland M20x1,5-ATEX-II2GD-EEx-D-IIC-1.4404",4000116901,KROHNE,85389099
2.888790000002313e+18,Cable set DR 6000,LZV934,HACH,
2.888790000019685e+18,"Cable Set, RS232 and Power, 30 m (98.4 ft), gas measurement, GS1440/GS2440EX",LXZ449.99.02G30,HACH,
2.888790000002313e+18,Cables set (DR 3900),LZV870,HACH,
2.8887900000198523e+18,"Cadmium ICP Standard SolutionROTI®Star 1 000 mg/l Cd, in 2 % HNO3",2405.1,Carl Roth,
2.888790000010999e+18,"Cadmium sulfate octahydrate, ACS, 98.0-102.0%",12340.30,VWR Avantor®,2833292000
2.888790000010979e+18,"Caesium chloride, 100 g",7878.1,Carl Roth,
2.8887900000031693e+18,"Calcium / Magnesium indicator solution, 100 mL",2241832,HACH,
2.888790000002545e+18,"Calcium carbonate, 100 g",P012.4,Carl Roth,
2.888790000002716e+18,"Calcium carbonate, 500 g, plastic",P013.1,Carl Roth,
2.888790000004706e+18,"Calcium chloride dihydrate, 1 kg, plastic",5239.1,Carl Roth,
2.888790000014745e+18,"Calcium chloride, 1 kg ≥94 %, dehydrated",A119.1,Carl Roth,28272000
2.888790000008094e+18,"Calcium chloride, 500 g",CN92.1,Carl Roth,
2.88879000002419e+18,"Calcium chloride, 500 g≥98 %, dehydrated, powder",CN93.1,Carl Roth,28272000.0
2.8887900000109783e+18,"Calcium hypochlorite, 1 kg",5164.3,Carl Roth,
2.8887900000109983e+18,"Calcium IC Standard Solution, 100 ml",1986.1,Carl Roth,
2.8887900000031693e+18,"Calcium Standard Solution, 1000 mg/L, 500 mL",2240349,HACH,
2.8887900000028626e+18,"Calcium Sulphate Powder, 50 Tests",1232120,HACH,
2.8887900000051533e+18,Calibration kit - TUR 1050/60 0.02/10/,020011986XGAM010150,KROHNE,
2.8887900000034683e+18,Calibration set - Trübungsstandard 500ml,020011986 XGAM040100,KROHNE,
2.8887900000055465e+18,"CalVer 2 Calcium indicator reagent powder pillows, 100/pk",94799,HACH,
2.888790000002862e+18,Cap only for 177 mL Demineralizer Bottle,591200,HACH,
2.88879000000248e+18,Cap Press MICRO DIST,17023L,HACH,
2.888790000007492e+18,"Cap, bottle, BOD, 6/pk",241906,HACH,
2.888790000009135e+18,"Carbonate/carbon dioxide cuvette test 55-550 mg/L CO₂, 25 tests",LCK388,HACH,38221900
2.888790000002311e+18,Carousel Cell Holder 1cm vials,LZV902.99.00001,HACH,
2.888790000010627e+18,Carrier Profile & Anti floating Fixtures,Lamella-Accessories,Made in Turkey,ადგილობრივი წარმოება
2.888790000017721e+18,Cartr. board non-EX/IS..OFx200,XFDA020500,KROHNE,90269000
2.888790000022453e+18,"Casseroles, 1300 ml, 4",HC83.1,Carl Roth,69091100.0
2.888790000018316e+18,"Cationic surfactants cuvette test 0.2-2.0 mg/L, 25 tests",LCK331,HACH,
2.888790000007285e+18,Caucasus Build Georgia / 28.04 - 30.04.2023,Caucasus Build,,
2.888790000019684e+18,"CAx440EX Field Transmitter H₂S EX, Wireless 3G (EU & UK)",LXV449.98.01000,HACH,
2.888790000019684e+18,CDx440sc Digital SC Gateway,LXV449.99.02000,HACH,
2.888790000002545e+18,Centrifuge glasses with screw cap with round bottom,CLC7.1,Carl Roth,
