Item,თარგმანი
"mech seal wf d35 ssp4
wf80 36-10 4 / wf100
60-20 11 / wf100 100-8 11 /
wf100 60-20 7,5","მექანიკური მბეჭდავი WF D35 SSP4 (სხვადასხვა მოდელებზე: WF80, WF100)"
ფოსფატების განსაზღვრის რეაგენტები,reagents for phosphate determination using lovibond® md photometers
Red nut for filter block,"წითელი ქანჩი(გაიკა), გორტექს ფილტრის დამაკავშირებელი მილის დამჭერი"
ამრევი ზოლები,"stirring bars rotilabo® glass, 150 mm, ø: 6 mm from roth selection"
"BOD5 cuvette test 4 -1650 mg/L O, 39 tests",წყალის ჟბმ (ჟაგბადის ბიოლოგიური მოთხოვნა) განმსაზღვრავი რეაგენტები
კადმიუმის სტანდარტული ხსნარი,"cadmium icp standard solutionroti®star 1 000 mg/l cd, in 2 % hno3"
"HQ411D Laboratory Single Input, pH/mV Meter - pH and ORP",გასაზომი ხელსაწყო: pH და ორპ (ჟანგვა-აღდგენითი პოტენციალი) წყალში
ტუმბოს აქსესუარი გამსვლელი კოლექტორი,"maniflods outlet pbs2-ol m6""(dn150) p4""(dn100) m/t ¼""/2x1 vdroo90"
"Intellical MTC301 Laboratory General Purpose Refillable ORP/RedOx Electrode, 1 m Cable",ლაბორატორიული ზოგადი დანიშნულების ამოავსებელი ORP/RedOx ელექტროდი
ტყვიის სტანდარტული ხსნარი,"lead icp standard solution roti®star 1 000 mg/l pb, in 2-3 % hno3"
სახელურიანი (ლევერული) ბიგრის ტიპის პეპლის სარქველი,"dn80-pn16, handlever ggg40/ss316/epdm wafer type butterfly valve"
წნევის შლანგი ქსოვილის ჩანართით,"pressure hose pvc, 13 mm, 20 mm, 50 m ( pvc with fabric insert.)"
მაგნიუმის სულფატის ჰეპტაჰიდრატი,"magnesium sulphate heptahydrate, 500 g, ≥99 %, ph. eur., usp, bp"
პლატა,dat3024 remote i/o module 4 channel v/maoutput on rs-485 network
"Buffer Solution Kit, Colour-coded, pH 4.01, pH 7.00 and pH 10.01, 500 mL","ბუფერული ხსნარების ნაკრები pH 4.01, pH 7.00 და pH 10.01, 500 მლ"
"COD cuvette test - ISO 15705, 0-1000 mg/L O",წყალში ჟქმ (ჟაგბადის ქიმიური მოთხოვნა) განმსაზღვრავი რეაგენტები
"მაქსიმალური/მინიმალური თერმომეტრი, ეკოლოგიურად უსაფრთხო, ალუმინის","maximum/minimum
thermometer
environmentally
friendly, aluminium"
"პასტერის პიპეტები დასაკეცი ბუხრით გრადუირებული,","pasteur pipettes with folding bellows graduated, 1.5 ml, 134 mm"
optisens tur 2000,"წყლის სიმღვრივის მზომი ელექტრონული ინსტრუმენტი, წყალში ჩასაძირი"
"მაქსიმალური/მინიმალური თერმომეტრი ეკოლოგიურად სუფთა, ალუმინის","maximum/minimum thermometer environmentally friendly, aluminium"
"ძლიერი, ტუ-პუ მასალის, არავენტილირებადი, ტვისტ-ლოკ კაბელი,","rugged twist-lock cable, non-vented, tpu, no reel, twist-lock,"
ამონიუმის ჰეპტამოლიბდატის ტეტრაჰიდრატი,"ammonium heptamolybdate tetrahydrate, 1 kg, plastic≥99 %, p.a."
მექანიკური ხრახნი წნევის სარქველის შესარემონტებლად,"threaded bushing assembly dn 15, 1.4404/carbon, for 10 mm stem"
"COD TNT, Mercury free, 0 - 1500 mg/L O₂","ქიმიური ჟანგვის მოთხოვნილება), TNT ტესტი, ვერცხლისწყალგაუმტარი"
ტუმბოს აქსესუარი(გამსვლელი კოლექტორი),"manifolds outlet pbs2-ol m2½"" p 1½"" m/t ¼""/1"" aisi304 vdroo10"
ხლორის ტესტის ზოლები,test strips quantofix® chlorine sensitive from macherey-nagel
"კალიუმის ქლორიდი, სუფთა,
ანტიკოროზიული აგენტით","potassium chloride, 1 
kg ≥99 %, pure, with 
anti-caking agen"
კრისტალიზაციის ჭურჭელი ,"crystallization dishes rotilabo® with spout, 3500 ml, 230 mm"
ჰიდრავლიკური კომპლექტი საყრდენით,"hydraulic kit with bearing 374. including: 290, 487, 21, 479"
"რექტანგულარული კამერა, ფართო 100, ოპტიკური მინა OG, 50 მმ სიგრძის გზით","rectangular cell, w 100, optical
glass og, 50 mm path length"
"Reducing adapter, 16 mm to 13 mm vials, 5 pieces","შესამცირების ადაპტერი, 16 მმ-დან 13 მმ-მდე ფლაკონები, 5 ცალი"
"Singlet Single-use Conductivity Standard Solution, 147 µS/cm, KCl, 20 mL","გამტარიანობის სტანდარტული ხსნარი, კალიუმის ქლორიდი 147 µS/cm"
"DR300 - Chlorine,Free+Total, w.Box","ქლორის (თავისუფალი და სრული) განსაზღვრის მოწყობილობა, ყუთში"""
"Reagent set, hardness (total), digital titrator, full range","რეაგენტების ნაკრები, წყალში სიხისტის განსაზღვრის, ტიტრატორი"
პიპეტი,"single-channel microlitre pipette rotilabo®, 100 to 1000 µl"
ტუმბო,wf100 80-25 11 t 4069 5 2 fa00102 std (delta star starting)
"Reagent set, hardness (total), HR, digital titrator","რეაგენტების ნაკრები, წყალში სიხისტის განსაზღვრის, ტიტრატორი"
"მულტიელემენტური სტანდარტი წყლის სიმკვრივის, დუღილის, გაყინვის ტემპერატურის დასადგენად","icp multi-element standard solution (28 elements, 100 mg/l)"
რადარის სენსორი წყლის დონის გაზომვისთვის,ott rls radar sensor for water level measurement - 25.3 ghz
"Phosphate Ortho/Total cuvette test 0.5-5.0 mg/L PO₄-P, 25 tests
",წყალში ფოსფატების (ორთო/საერთო) განსაზღვირის ტესტ-კიუვეტები
"Cyanide cuvette test 0.01-0.6 mg/L CN, 25 tests",წყალში ციანიდის (CN) შემცველობას ზომავს კუვეტის გამოყენებით
ერთარხიანი მიკროლიტრიანი პიპეტკა,"single-channel
microlitre pipette
rotilabo®, 500 to
5000 μl"
Total Hardness Reagent Set for Digital Titrator (LR),"რეაგენტების ნაკრები, წყალში სიხისტის განსაზღვრის, ტიტრატორი"
vn224es01c00b00000000000,OPTIFLUX 6000                                    DN 2.5-150
"Phosphate (ortho/total) cuvette test 2.0 -20.0 mg/L PO₄-P, 25 tests
",წყალში ფოსფატების (ორთო/საერთო) განსაზღვირის ტესტ-კიუვეტები
კომბინირებული სამონტაჟო მოწყობილობა,combined mounting support for ott svr+rls complete english
"Sodium/Potassium Ionic Strength Adjustor (ISA) Powder Pillows,",ნატრიუმის/კალიუმის იონური სიძლიერის მარეგულირებელი ფხვნილი
"Anionic Surfactants, cuvette test",ზედაპირულად აქტიური ნივტიერებების განმსაზღვრელი რეაგენტები
"Intellical PHC101 Laboratory Low Maintenance Gel Filled pH Electrode, 1 m Cable","ლაბორატორიული, დაბალი მოვლის, გელის შევსებული pH ელექტროდი"
"Addista Mixed-Parameter Standard, NIST, Wastewater, Low Range","მულიტი-პარამეტრული სტანდარტული ხსნარი, ჩამდინარე წყლისთვის"
Ethylenediaminetetra-acetic acid disodium salt dihydrate,ეთილენდიამინტეტრა-ძმარმჟავას დინატრიუმის მარილის დიჰიდრატი
ნატრიუმის თიოსულფატის პენტაჰიდრატი,"sodium thiosulphate pentahydrate, 500 g ≥99,5 %, p.a., acs"
Hach Online Process ORP Sensor - Clean Water Digital ORP Sensor,ონლაინ პროცესის ჟანგვა-აღდგენითი პოტენციალის (ORP) სენსორი
ტუმბოს აქსესუარი შემსვლელი კოლექტორი,"maniflods inlet pbs2-il m8""(dn200) p4""(dn100) t 1"" vdroo90"
"მაგნიუმის სულფატი, მონოჰიდრატი","manganese(ii) sulphate monohydrate, 250 g≥99 %, p.a., acs"
"Anionic Surfactants,
cuvette test 0.1 - 4.0
mg/L, 25 tests","ანიონური ზედაპირულად აქტიური ნივთიერებების კუვეტის ტესტი,"
ფოტომეტრული ტესტის ნაკრებები,"photometric test kits, cod vario tube tests 0 - 1500 mg/l"
ფოტომეტრული ტესტ-კიტი ქიმიური ჟანგვითი მოხმარების განსასაზღვრისთვის,"photometric test kits, cod vario tube tests 0 - 1500 mg/l"
"Anionic Surfactants,","ანიონური ზედაპირულად აქტიური ნივთიერებების კუვეტის ტესტი,"
შუასადები ,"packing, standard form, dn 15, 1.4404/1.4310, ptfe-carbon"
"Free and total chlorine test strips, 0 - 10 mg/L, 50 tests",თავისუფალი და საერთ ქლორის განმსაზღვრელი ტესტ ინდიკატორი
კალიუმის ნატრიუმის ტარტრატის ტეტრაჰიდრატი,"potassium sodium tartrate tetrahydrate, 500 g ≥99 %, usp"
"COD cuvette test 50-300 mg/L O₂, 25 tests",ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრელი ტესტ-კიუვეტები
"COD cuvette test - ISO 15705, 0-1000 mg/L O₂",ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრელი ტესტ-კიუვეტები
"COD cuvette test 100-600 mg/L O₂, 25 tests",ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრელი ტესტ-კიუვეტები
"სახელურიანი U-PVC/PTFE/EPDM მასალების სარქველი, მოკლე კორპუსის U-PVC ბურთულიანი სარქველი","r2""-ø63, handlever u-pvc/ptfe/epdm s.c. u-pvc ball valve"
"COD cuvette test 1,000-10,000 mg/L O₂, 25 tests",ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრელი ტესტ-კიუვეტები
BOD5 cuvette test 4,ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრის ტესტ-კიუვეტები
"BOD5 cuvette test 
0.5-12.0 mg/L O₂, 20 
tests",ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრის ტესტ-კიუვეტები
Anionic Surfactants,ზედაპირულად აქტიური ნივთიერებების განმსაზღვრელი ნაკრები
BOD5 cuvette test,ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრის ტესტ-კიუვეტები
Portable HQ Series Field Case for Rugged Probes with Extended Cable Lengths,პორტატული საველე წყლის ხარისხის მზომი მოწყობილობის ყუთი
Nessler Reagent Solution,ნესლერის რეაგენტი ხსნარი (საერთო აზოტის განსაზღვისთვის)
"COD cuvette test - ISO 15705, 0-150 mg /L O₂",ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრის ტესტ-კიუვეტები
"COD cuvette test 100-2000 mg/L O₂, 25 tests",ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრის ტესტ-კიუვეტები
"COD cuvette test 15-150 mg/L O₂, 25 tests",ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრის ტესტ-კიუვეტები
"Maintenance kit for 5500 sc Silica Analyser, 6 channels",სილიციუმის ანალიზატორის ტექნიკური მომსახურების ნაკრები
"მაგნიუმის სულფატი, ანჰიდრიდი","magnesium sulphate, 500 g, glass≥99 %, p.a., anhydrous"
"Intellical CDC401 Laboratory 4-Poles Graphite Conductivity Cell, 1 m Cable",ლაბორატორიული 4 პოლუსიანი გრაფიტის საკონდუქტო ცილინდრი
"Stablcal Calibration Kit, 100 mL, 2100Q",წყლის სიმღვრივის დასაკალიბრებელი მოწყობილობის რეაგენტი
"ბოთლი ყავისფერი მინის , 10 ცალიანი შეკვრა","screw top bottle rotilabo® brown glass, 1000 ml, gl 45"
"HQ1130 Portable Dedicated Dissolved Oxygen Meter with Rugged Field Dissolved Oxygen Electrode, 5 m Cable","პორტატული მზომი, ელექტროდით, წყალში გახსნილი ჟაგბადის"
"Bromcresol green-methyl red indicator solution, 100mL MDB",ბრომკრეზოლის მწვანე-მეთილის წითელი ინდიკატორის ხსნარი
"Silver nitrate digital titrator cartridge, 0.2256 N, 1 piece","ვერცხლის ნიტრატის კარტრიჯი, ავტომატური ტიტრატორისთვის"
Protective Glove for Portable HQ Series Meter,დამცავი ხელთათმანი HQ სერიის პორტატული მრიცხველისთვის
"Dilution water, organic free","განმაზავებელი წყალი, თავისუფალი ორგანული ნაერთებისგან"
კალიუმის ჰიდროქსიდი,"potassium hydroxide, 1 kg≥85 %, ph. eur., in pellets"
Silica Reagent Set,წყალში სილიკატების განმსახღვრელი რეაგენტების ნაკრები
გამაგრილებელი ტომარა ,"cooling bag fold’n cool™, 20 l, outer length: 320 mm"
"aurin tricarboxylic acid ammonium salt, 10 g","აურინის ტრიკარბოქსილის მჟავას ამონიუმის მარილი, 10 გ"
"Hardness (Total & Calcium) Test Kit, Model HA-4P MG-L","მყარი ნივთიერებების (საერთო და კალციუმის) ტესტ კიტი,"
"BOD5 cuvette test 4 -1650 mg/L O₂, 39 tests","ბიოქიმიური ჟანგვითი მოთხოვნა (BOD₅) კიუვეტის ტესტი,"
"საერთო ფოსფატი HR, კიუვეტის მილის ტესტი (ფხვნილის პაკეტი)","total phosphate hr, cuvette tube test (powder pack)"
Silica Reagent Set for 5500 sc,სილიციუმის განსაზრვრის ნარები- სტანდარტული ხსნარები
ფოსფატების ტესტი,"total phosphate hr, cuvette tube test (powder pack)"
"Free Chlorine DPD Reagent Powder Pillows, 10 mL, pk/100","თავისუფალი ქლორის DPD რეაგენტის ფხვნილის ბალიშები,"
"Conductivity Standard Solution, 1413 µS/cm, KCl, 500 mL","გამტარიანობის სტანდარტული ხსნარი, კალიუმის ქლორიდი"
"Conductivity Standard Solution, 147 µS/cm, KCl, 250 mL","გამტარიანობის სტანდარტული ხსნარი, კალიუმის ქლორიდი"
LDO Sensorkappe für INTELLICAL LDO,ინტელექტუალური სენსორის თავსახური განახლების ჩიპით
"Maintenance kit for 5500 sc Silica Analyser, 1 channel",შესაკეთებელი ნაკრები 5500 sc Silica Analyser-სთვის
"Dissolved Oxygen Reagent Accuvac Ampules, 0.3-15.0 mg/L O",წყალში გახსნილი ჟანგბადის განმსაზღვრავი რეაგენტები
 ქიმიური ჭიქა ფაიფურის 50 მლ  -10ცალიანი შეკვრა,"melting crucible 79 mf medium high form, 50 ml, 6a"
Electrode Cleaning Solution for Regular Maintenance,ელექტროდის გამწმენდი ხსნარი რეგულარული მოვლისთვის
"Free Chlorine DPD Reagent Powder Pillows, 10
mL, pk/100",წყალში თავისუფალი ქლორის განმსაზღვრავი რეაგენტები
დოზატორის დიაფრაგმის ნაკრები,"fisek takimi m vpss alt , fisek takimi m vpss ust"
"HQ4300 Portable Multi-Meter, pH, Conductivity, TDS, Salinity, Dissolved Oxygen (DO), ORP, and ISE, 3 channels, w/o electrodes",პორტატული საველე წყლის ხარისხის მზომი მოწყობილობა
"temperature measuring strips irreversible, 121-127- 132-138-143-149-154-160 °c",ავტოკლავის ინდიკატორი ტემპერატურული კონტორლისთვის
COD cuvette test ,ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრელი ნაკრები
COD standard solution,ჟანგბადის ქიმიური მოთხოვნის განმსაზღვრელი ნაკრები
sterile indicator labels comply™,ავტოკლავის ინდიკატორი ტემპერატურული კონტორლისთვის
"temperature measuring strips irreversible, 77-82-88- 93-99-104-110-116 °c",ავტოკლავის ინდიკატორი ტემპერატურული კონტორლისთვის
"Sulphate Reagent Powder Pillows, 2-70 mg/L SO₄",წყალში სულფატების შემცველობის განმსაზღვრელი ტესტი
COD cuvette test,ჟანგბადის ქიმიური მოთხოვნის განსაზღვირ რეაგენტები
ტუმბოს აქსესუარი(შემსვლელი კოლექტორი),"manifolds inlet pbs2-il m2½"" p1½"" aisi304 vdroo10"
Potassium Chloride Reference Electrolyte Gel Cartridges,კალიუმის ქლორიდის ელექტროლიტური გელის კარტრიჯები
კალციუმის ქლორიდი,"calcium chloride, 500 g≥98 %, dehydrated, powder"
Sension+ ORP/Redox,ჟანგვა-აღდგენითი პოტენციალის სატანდარტული ხსნარი
SENSION+ Standard,ჟანგვა-აღდგენითი პოტენციალის სატანდარტული ხსნარი
Chloride Standard,წყალში ქლორიდების განსაზღვრის სტანდარტული ხსნარი
"Phenols cuvette test 0.05-5.0 mg/L, 24 tests",წყალში ფენოლების შემცველობის განმსაზღვრელი ტესტი
"Electrode Cleaning Solution for Regular Maintenance, 500 mL",ელექტროდების წმენდს ხსნარი რეგულარული მოვლისთვის
Stablcal Stabilised Formazine Turbidity Standard,სტაბილიზირებული ფორმაზინის სიმღვრივის სტანდარტი
"ORP buffer solution,",ჟანგვა-აღდგენითი პოტენციალის სტანდარტული ხსნარი
"COD cuvette test,",ჟანგბადის ქიმიური მოთხოვნის განსაზღვრის ნაკრები
"Filling Solution, Reference",კალიუმ ქლორიდის ხსნარი ელექტროდების შემავსებელი
 კაბელის ჰერმეტული შესასვლელი,"cable gland m20x1,5-atex-ii2gd-eex-d-iic-1.4404"
"Phosphonate Reagent 
Set, Powder Pillows, 
0.02-125mg/L PO₄","ფოსფონატის რეაგენტი
კომპლექტი, პუდრის ბალიშები,"
"„ნ-პენტანი, 2.5 ლ, მინის ≥99%, სინთეზისთვის“","""n-pentane, 2.5 l, 
glass≥99 %, for 
synthesis"""
"single-use samplers dispopipette for liquids, sterile, 200 ml, 1000 mm",ერთჯერადი თხევადობის ნიმუშის ამღებები (პიპეტები
ზედაპირული სიჩქარის რადარი,ott svr 100 surface velocity radar (eu-version)
Electrode Cleaning,ელექტროდის წმენდის ხსნარი რეგულარული მოვლისთვის
"Sodium/Potassium Ionic 
Strength Adjustor (ISA) 
Powder Pillows, pk/100","ნატრიუმის/კალიუმის იონური
სიძლიერის რეგულირება "
კალიუმის იოდიტი,"potassium iodide 1
min. 99 %, ph. eur., bp, usp"
TOC cuvette test,საერთო ორგანული ნახშირაბდის განსაზღვრის ნაკრები
Standard solution COD,ჟანგბადის ქიმიური მოთხოვნის  სტანდარტული ხსნარი
"Electrode Cleaning
Solution for Regular
Maintenance, 500 mL",ელექტროდის წმენდის ხსნარი რეგულარული მოვლისთვის
"Fluoride cuvette test 0.1-2.5 mg/L F, 25",წყალში ფტორიდის შემცველობის განმსაზღვრელი ტესტი
"Phosphate (ortho /total) cuvette test 2.0 -20.0 mg/L PO₄-P, 25 tests",წყალში ფოსფატის შემცველობის განმსაზღვრელი ტესტი
"Aluminium Reagent Set, Powder Pillows, 0.008-0.800mg/L Al","ალუმინის რეაგენტების ნაკრები, ფხვნილის ბალიშები"
TOC (Purging Method) TNT,საერთო ორგანული ნახშირბადის განსაზღვრის ნაკრები
TOC (Purging Method),საერთო ორგანული ნახშირბადის განსაზღვრის ნაკრები
spare bulb ir,წყლის სიმღვრივის მოწყობილობის სათადარიგო ნათურა
Certified Buffer,ბუფერული ხსნარი წყლის მჟავიანობის განსასაზღვრად
"
Buffer Solution Kit, Colour-coded, pH 4.01, pH 7.00 and pH 10.01, 500 mL",ფერებით კოდირებული ბუფერული ხსნარების ნაკრები:
პიპეტის წვერები,"pipette tips sapphire 10 μl, bag, 1000 unit(s)"
"or 16x2,85 epdm 70sh a
wras","ო-რგოლი 16x2.85, EPDM 70SH A, WRAS სერთიფიკატი"
ბრმა სახრახნისი (პლაგი),"blind plug-m20x1,5-atex-ii2gd-eex-d-iic-1.4404"
"COD standard solution, 1000 mg/L O₂ (NIST), 200 mL",ჟანგბადის ქიმიური მოთხოვნის სტანდარტული ხსნარი
დახურული საცობი,"blind plug-m20x1,5-atex-ii2gd-eex-d-iic-1.4404"
"Sodium hydroxide standard solution, 0.100 N (N/10), 1 L",ნატრიუმის ჰიდროქსიდის სტანდარტული ხსნარი 0.1 N
"Laton Total Nitrogen cuvette test 5-40 mg/L TN, 25 tests",წყალში საერთო აზოტის განმსაზღვრავი რეაგენტები
Dissolved Oxygen,გახსნილი ჟანგბადის რეაგენტის Accuvac ამპულები
"BOD Seed Inoculum,",ჟბმ (ჟანგბადის ბიოლოგიური მოხმარება) რეაგენტი
"Chlorine, total, Reagent Powder Pillows, 100/pk, 10 mL",წყალში ქლორის შემცველობის განმსაზღვრელი ტესტი
